VIVA - RAUNA SZIL,,,,,,,,-
SÜTŐ,SMEG,SF6400TVX,DESM00007,L14393,,INOX,,DIA - FINO VANÍLIA
MIKRÓHULLÁMÚ,BEKO,MOB-20231 BG,ABE0007AKC,L15136,,INOX,,DIA - FINO VANÍLIA
FŐZŐLAP,BEKO,HIC-64403T,ABE0012AKC,,,FEKETE,,DIA - FINO VANÍLIA
ELSZÍVÓ,,,,,,,,DIA - FINO VANÍLIA
HŰTŐ,BEKO,BLSA-210M3SN,ABE0106AKC,L14335,,NEM LÁTSZÓ,,DIA - FINO VANÍLIA
BORHŰTŐ,,,,,,,,DIA - FINO VANÍLIA
SOKKOLÓ HŰTŐ,,,,,,,,DIA - FINO VANÍLIA
KÁVÉFŐZŐ,,,,,,,,DIA - FINO VANÍLIA
MOSOGATÓGÉP,EVIDO,AQUALIFE 60 (DW65I.2),DEEV00017,L14424,60,NEM LÁTSZÓ,,DIA - FINO VANÍLIA
MOSÓGÉP,,,,,,,,DIA - FINO VANÍLIA
SZÁRÍTÓGÉP,,,,,,,,DIA - FINO VANÍLIA
MOSOGATÓTÁLCA,BLANCO,LEMIS 45 S-IF,DEBL00119,L15135,,FÉNYEZETT,,DIA - FINO VANÍLIA
CSAPTELEP,BLANCO,MILA-S,DEBL00117,L15135,,KRÓM,,DIA - FINO VANÍLIA
SZAPPANADAGOLÓ,,,,,,,,DIA - FINO VANÍLIA
VÍZTISZTÍTÓ,,,,,,,,DIA - FINO VANÍLIA
HULLADÉKTÁROLÓ,BLANCO,BOTTONPR.60/3,DEBL00114,L7790,,NEM LÁTSZÓ,,DIA - FINO VANÍLIA
HULLADÉKTÁROLÓ,,,,,,,,DIA - FINO VANÍLIA
KONYHAMALAC,,,,,,,,DIA - FINO VANÍLIA
ANI-FLAT,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,ELECTROLUX,EOE7P31X,AE00195AKC,L13494,,INOX,,ANI-FLAT
MIKRÓHULLÁMÚ,,,,,,,,ANI-FLAT
FŐZŐLAP,ELECTROLUX,EHH6240ISK,AE00091AKC,L13494,,FEKETE,,ANI-FLAT
ELSZÍVÓ,,,,,,,,ANI-FLAT
HŰTŐ,ELECTROLUX,ENT6TF18S,AE00210AKC,L13495,,NEM LÁTSZÓ,,ANI-FLAT
BORHŰTŐ,,,,,,,,ANI-FLAT
SOKKOLÓ HŰTŐ,,,,,,,,ANI-FLAT
KÁVÉFŐZŐ,,,,,,,,ANI-FLAT
MOSOGATÓGÉP,EVIDO,AQUALIFE 45I (DW45I.3),DEEV00094,,45,NEM LÁTSZÓ,,ANI-FLAT
MOSÓGÉP,,,,,,,,ANI-FLAT
SZÁRÍTÓGÉP,,,,,,,,ANI-FLAT
MOSOGATÓTÁLCA,BLANCO,DALAGO 45,DEBL00021,,,FEKETE,,ANI-FLAT
CSAPTELEP,BLANCO,KANO-S,DEBL00211,,,FEKETE,,ANI-FLAT
SZAPPANADAGOLÓ,,,,,,,,ANI-FLAT
VÍZTISZTÍTÓ,,,,,,,,ANI-FLAT
HULLADÉKTÁROLÓ,BLANCO,SELECT 45/2,DEBL00134,L14340,,NEM LÁTSZÓ,,ANI-FLAT
HULLADÉKTÁROLÓ,,,,,,,,ANI-FLAT
KONYHAMALAC,,,,,,,,ANI-FLAT
FLAT - ANTRACIT,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,GORENJE,BPS6747A06X,AG00180AKC,L15235,,INOX,,FLAT - ANTRACIT
MIKRÓHULLÁMÚ,,,,,,,,FLAT - ANTRACIT
FŐZŐLAP,GORENJE,ECT643BCSC,AG00137AKC,L15235,,FEKETE,,FLAT - ANTRACIT
ELSZÍVÓ,GORENJE,TH60E3X,AG00157AKC,L15234,BEÉPÍTETT 60,INOX,,FLAT - ANTRACIT
HŰTŐ,BEKO,BCNA-275E31SN,ABE01123KC,L13188,,NEM LÁTSZÓ,,FLAT - ANTRACIT
BORHŰTŐ,,,,,,,,FLAT - ANTRACIT
SOKKOLÓ HŰTŐ,,,,,,,,FLAT - ANTRACIT
KÁVÉFŐZŐ,,,,,,,,FLAT - ANTRACIT
MOSOGATÓGÉP,EVIDO,SPLASH 60I (DWS65I.1),DEEV00113,,60,NEM LÁTSZÓ,,FLAT - ANTRACIT
MOSÓGÉP,,,,,,,,FLAT - ANTRACIT
SZÁRÍTÓGÉP,,,,,,,,FLAT - ANTRACIT
MOSOGATÓTÁLCA,TEKA,CIVIO 50 STQ,AT00196AKC,L13918,,TOPÁZBÉZS,,FLAT - ANTRACIT
CSAPTELEP,TEKA,MTP 993,AT00152AKC,L13918,,KRÓM,,FLAT - ANTRACIT
SZAPPANADAGOLÓ,,,,,,,,FLAT - ANTRACIT
VÍZTISZTÍTÓ,,,,,,,,FLAT - ANTRACIT
HULLADÉKTÁROLÓ,,,,,,,,FLAT - ANTRACIT
HULLADÉKTÁROLÓ,,,,,,,,FLAT - ANTRACIT
KONYHAMALAC,,,,,,,,FLAT - ANTRACIT
DIA - SÖTÉT TÖLGY,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,EVIDO,RUSTIC-O 6AC,DEEV00044,L12120,,BÉZS,,DIA - SÖTÉT TÖLGY
MIKRÓHULLÁMÚ,,,,,,,,DIA - SÖTÉT TÖLGY
FŐZŐLAP,EVIDO,RUSTIC-H 70C,DEEV00045,L12118,,BÉZS,,DIA - SÖTÉT TÖLGY
ELSZÍVÓ,,,,,,,,DIA - SÖTÉT TÖLGY
HŰTŐ,BEKO,BLSA-210M3SN,ABE0106AKC,L13107,,NEM LÁTSZÓ,,DIA - SÖTÉT TÖLGY
BORHŰTŐ,,,,,,,,DIA - SÖTÉT TÖLGY
SOKKOLÓ HŰTŐ,,,,,,,,DIA - SÖTÉT TÖLGY
KÁVÉFŐZŐ,,,,,,,,DIA - SÖTÉT TÖLGY
MOSOGATÓGÉP,EVIDO,AQUALIFE 45 (DW45I.2),DEEV00017,L14425,45,NEM LÁTSZÓ,,DIA - SÖTÉT TÖLGY
MOSÓGÉP,,,,,,,,DIA - SÖTÉT TÖLGY
SZÁRÍTÓGÉP,,,,,,,,DIA - SÖTÉT TÖLGY
MOSOGATÓTÁLCA,BLANCO,LEGRA 6,DEBL00106,L12122,,,,DIA - SÖTÉT TÖLGY
CSAPTELEP,BLANCO,TRADON,DEBL00098,L12121,,SÁRGARÉZ,,DIA - SÖTÉT TÖLGY
SZAPPANADAGOLÓ,,,,,,,,DIA - SÖTÉT TÖLGY
VÍZTISZTÍTÓ,,,,,,,,DIA - SÖTÉT TÖLGY
HULLADÉKTÁROLÓ,,,,,,,,DIA - SÖTÉT TÖLGY
HULLADÉKTÁROLÓ,,,,,,,,DIA - SÖTÉT TÖLGY
KONYHAMALAC,,,,,,,,DIA - SÖTÉT TÖLGY
TINA-KIA - SPANYOL TÖLGY/SZÜRKE,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,EVIDO,LEVEL 60,DEEV00098,,,FEKETE,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
MIKRÓHULLÁMÚ,EVIDO,COMFORT 45M,DEEV00010,,,FEKETE,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
FŐZŐLAP,EVIDO,VETRO 60BB,DEEV00025,,,FEKETE,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
ELSZÍVÓ,,,,,,,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
HŰTŐ,BEKO,BCSA-285K3SN,ABE0102AKC,L13471,,NEM LÁTSZÓ,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
BORHŰTŐ,,,,,,,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
SOKKOLÓ HŰTŐ,,,,,,,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
KÁVÉFŐZŐ,,,,,,,,TINA-KIA - SPANYOL TÖLGY/SZÜRKE
